Date,Year,Month,Mdate,Weekday_End,Day,Hour,Town_Hall-West,Collins Place-South,Australia on Collins,Bourke Street Mall-South,Bourke Street Mall-North,Melbourne Central,Flagstaff Station,State Library,Collins Place-North,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Birrarung Marr,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge
1/1/2012,2012,1,1,20,1,0,3363,549,781,1015,826,2727,157,1574,382,325,791,4372,3164,325,2848,4171,3726,479
1/1/2012,2012,1,1,20,1,1,3232,283,524,878,773,2767,105,1616,261,246,400,1361,709,169,588,2843,3082,1011
1/1/2012,2012,1,1,20,1,2,2133,86,277,496,362,1411,39,750,91,131,263,722,297,52,265,2153,2784,1346
1/1/2012,2012,1,1,20,1,3,1219,86,151,262,298,737,34,273,66,135,253,442,186,58,107,967,1915,1034
1/1/2012,2012,1,1,20,1,4,692,19,89,145,173,486,26,214,34,56,28,65,45,18,65,404,959,532
1/1/2012,2012,1,1,20,1,5,333,24,52,89,107,189,21,104,8,15,11,46,20,7,47,302,485,289
1/1/2012,2012,1,1,20,1,6,252,18,32,96,75,134,15,64,15,27,18,55,14,14,34,187,306,193
1/1/2012,2012,1,1,20,1,7,221,40,57,55,40,124,20,36,15,24,14,76,39,20,72,186,224,120
1/1/2012,2012,1,1,20,1,8,221,63,89,109,59,177,7,56,32,18,23,123,37,41,66,262,262,87
1/1/2012,2012,1,1,20,1,9,458,82,210,315,260,336,12,127,64,54,50,155,74,58,96,296,371,108
1/1/2012,2012,1,1,20,1,10,906,166,394,891,601,647,33,235,54,52,64,238,119,92,90,583,643,141
1/1/2012,2012,1,1,20,1,11,1429,171,598,1416,1292,768,18,331,56,59,53,243,110,80,144,934,917,188
1/1/2012,2012,1,1,20,1,12,1693,212,563,1466,1551,1193,20,575,119,63,83,264,160,78,103,1168,833,182
1/1/2012,2012,1,1,20,1,13,1860,163,727,1705,1763,1626,43,597,83,46,62,343,134,90,75,1367,1065,273
1/1/2012,2012,1,1,20,1,14,1917,148,536,1811,2046,2006,48,453,66,68,54,304,98,86,68,1464,1007,269
1/1/2012,2012,1,1,20,1,15,2015,143,466,1506,2006,2023,36,496,84,65,78,224,104,68,101,1313,1044,257
1/1/2012,2012,1,1,20,1,16,1703,116,345,1384,1811,1681,37,595,71,74,69,265,115,74,76,1206,1086,275
1/1/2012,2012,1,1,20,1,17,1620,118,308,936,1264,1539,35,486,56,64,90,281,153,57,116,1095,1041,292
1/1/2012,2012,1,1,20,1,18,1196,115,247,528,971,1647,49,491,48,62,127,242,85,62,106,955,969,324
1/1/2012,2012,1,1,20,1,19,1375,121,215,527,751,1479,51,661,41,29,65,416,208,83,110,958,883,249
1/1/2012,2012,1,1,20,1,20,1178,112,190,512,700,1233,60,616,50,50,71,578,335,64,150,1152,852,247
1/1/2012,2012,1,1,20,1,21,1142,137,223,356,549,1332,23,580,66,49,70,608,399,88,107,1577,953,445
