,专业名称,录取数
0,金融学,27
1,国际经济与贸易,28
2,汉语言文学,22
3,外国语言文学类,58
4,广告学(中外合作办学),30
5,康复治疗学,17
6,护理学,34
7,工商管理类,68
8,文化产业管理,9
9,行政管理,16
10,旅游管理,34
11,金融学,37
12,国际经济与贸易,12
13,外国语言文学类,20
14,信息与计算科学,39
15,应用化学,33
16,生物技术,66
17,机械类,242
18,材料化学,47
19,电气工程及其自动化,65
20,电子信息类,145
21,自动化,82
22,计算机类,213
23,数据科学与大数据技术,33
24,土木类,168
25,化学工程与工艺,88
26,制药工程,64
27,包装工程,43
28,环境工程,72
29,药学,22
30,食品科学与工程类,257
31,食品科学与工程(中外合作办学),50
32,建筑学,40
33,生物工程,70
34,生物制药,63
35,动物科学,103
36,动物药学,40
37,水产养殖学,37
38,康复治疗学,24
39,护理学,8
40,工程管理(中外合作办学),60
41,工商管理类,20
42,文化产业管理,3
43,行政管理,5
44,物流管理,38
45,旅游管理,15
46,设计学类,88
