,省份,批次,分数线
0,北京,本科普通批,503.33
1,天津,本科批A阶段,552.5
2,河北,本科批,564.22
3,河北,本科提前批B段,542.59
4,山西,第二批本科A类,530.26
5,山西,第二批本科B类,464.63
6,内蒙,本科二批,470.44
7,内蒙,本科,-
8,辽宁,本科批次,546
9,吉林,第二批A段,498.5
10,黑龙,二批本科（A）,514.4
11,黑龙,特殊类型招生,-
12,上海,本科普通批,437.7
13,江苏,本科二批,347.5
14,江苏,艺术本科2小批,503.5
15,浙江,普通类,582.49
16,浙江,艺术类第二批,559.4
17,安徽,文理科本科二批,526.9
18,福建,本科批,521.18
19,江西,二本(含艺术普本),547.78
20,山东,常规批,566
21,河南,本科第二批,545.73
22,河南,特殊类型批,-
23,河南,艺术本科A段,335.4
24,湖北,本科第二批,505.54
25,湖北,本科第一批,534.79
26,湖北,艺术本科(二),586.11
27,湖北,单独录取(本科),-
28,湖南,本科二批,523.64
29,广东,本科,539.13
30,广西,本科第二批,-
31,广西,本提前艺本二批,-
32,海南,本科批,588.6
33,重庆,本科第二批,498.53
34,四川,本科二批,517.84
35,贵州,第二批本科,457.53
36,贵州,艺术平行体育二本,-
37,贵州,特殊类型,-
38,云南,二本及预科,528.53
39,云南,高水平批,-
40,陕西,本科二批,456.2
41,甘肃,本科二批普通类,457.58
42,青海,本科一段,398.4
43,宁夏,二批本科,436
44,新疆,本科第二批,444.08
