,省份,批次,分数线
0,湖北,第一批本科,505
1,湖北,第二批本科,388
2,北京,本科二批,423
3,天津,本科二批A阶段,400
4,河北,本科二批,379
5,山西,第二批本科A类,432
6,山西,第二批本科B类,432
7,内蒙古,本科二批,352
8,辽宁,二批本科,369
9,吉林,第二批A段,350
10,黑龙江,本科二批院校,372
11,上海,第二批本科,403
12,江苏,本科二批,307
13,浙江,文理科第二批,496
14,安徽,文理科本科二批,426
15,福建,本科二批,393
16,江西,第二批本科A段,449
17,山东,本科二批,443
18,河南,本科第二批,385
19,湖南,本科二批,448
20,广东,第二批本科A类,390
21,广西,本科第二批,347
22,海南,本科第二批,539
23,重庆,本科第二批,435
24,四川,本科二批,459
25,贵州,第二批本科,369
26,云南,本科二批,435
27,陕西,二批本科,363
28,甘肃,本科二批（H段）,366
29,青海,第二批本科,376
30,宁夏,二批本科,381
31,新疆,本科二批次,387
